| name | position | department | school | degrees | research_interests |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Chishen WEI | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Nan YANG | ['Associate Professor'] | ['Department of Accounting and Finance'] | ['Bachelor of Economics', 'Renmin University of China\\nMaster of Art', 'State University of New York (Stony Brook)\\nDoctor of Philosophy', 'Texas A and M University'] | ['Bachelor of Economics', 'Renmin University of China\\nMaster of Art', 'State University of New York (Stony Brook)\\nDoctor of Philosophy', 'Texas A and M University'] | ['Corporate Governance And Compensation Incentive', 'Cross-Listing', 'Corporate Social Responsibility', 'Financial Institutions And Credit Risk'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr. Shaojun Zhang | ['Associate Professor'] | ['School of Accounting and Finance'] | ['Tsinghua University', 'Florida State University', 'The Florida State University'] | ["double Bachelor's degrees", "Master's degree", 'Doctoral degree', 'Master of Science', 'Doctor of Philosophy'] | ['finance', 'statistics', 'actuarial topics', 'Asset Pricing', 'Behavioural Economics', 'Finance', 'And Accounting Corporate Disclosure', 'Corporate Disclosure', 'Cost Of Equity Capital And Firm Valuation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Zhang, Shaojun | ['Teacher', 'Treasurer of the Asian Finance Association'] | ['Department of Accounting and Finance'] | ['Tsinghua University', 'The Florida State University'] | ['Bachelor of Science', 'Bachelor of Engineering', 'Master of Science', 'Doctor of Philosophy'] | ['Asset Pricing', 'Behavioural Economics', 'Finance', 'And Accounting Corporate Disclosure', 'Corporate Disclosure', 'Cost Of Equity Capital And Firm Valuation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Yujing MA | ['Assistant Professor'] | ['School of Accounting and Finance', 'Accounting and Finance'] | ['Nanyang Technological University', 'Nanyang Technological University (2016)', 'Tsinghua University'] | ['Doctor of Philosophy', 'Ph', 'D', 'in Finance (2016)', 'B', 'S', 'in Project Management (2011)', 'Bachelor of Engineering'] | ['corporate finance', 'corporate disclosure', 'analyst', 'auditing', 'corporate social responsibility and innovation', 'Corporate Finance', 'Corporate Disclosure', 'Analyst', 'Auditing', 'Corporate Social Responsibility', 'Innovation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Hong XIANG | ['Assistant Professor'] | ['Department of Accounting and Finance'] | [] | [] | ['Empirical Asset Pricing', 'Asset Management', 'Investor Behaviour'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Shuran ZHANG | ['Assistant Professor'] | ['Department of Accounting and Finance'] | ['Bachelor of Economic', 'Sun Yat-sen University'] | ['Master of Economic', 'Sun Yat-sen University', 'Doctor of Philosophy', 'The Chinese University of Hong Kong'] | ['Corporate Finance', 'Corporate Governance', 'Institutional Investors', 'Behavioral Economics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Jing Zhao | ['Assistant Professor'] | ['School of Accounting and Finance'] | ['The University of Hong Kong', 'University of Hong Kong'] | ['Doctor of Philosophy'] | ['behavioral finance', 'market microstructure', 'ESG', 'and the economic and social impact of corporate digitalization and FinTech'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Maqsood Ahmad | ['BBA (Honors) in Accounting and Finance', 'MS in Finance', 'Ph', 'D', 'in Finance'] | ['Accounting and Finance'] | ['University of Education Lahore', 'Mohammad Ali Jinnah University Islamabad', 'International Islamic University Islamabad', 'Pakistan'] | ['BBA (Honors) in Accounting and Finance', 'MS in Finance', 'Ph', 'D', 'in Finance'] | ['finance', 'ESG', 'Corporate Social Responsibility', 'Sustainability of SMEs', 'Green Investments/Sustainable Investments', 'Climate Risk Management', 'Carbon Accounting', 'Behavioral Economics', 'Finance'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Yingwen GUO | ['Teaching Area', 'Financial Accounting', 'Auditing', 'Econometric Application in Accounting', 'Corporate Governance'] | ['Accounting and Finance'] | [] | [] | ['Auditing', 'Taxation', 'Corporate Governance', 'ESG'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Mingming JI | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Daphne LAU | ['Research Assistant Professor', 'Accounting and Finance'] | ['Accounting and Finance', 'Department of Accounting and Finance'] | ['City University of Hong Kong'] | ['Ph', 'D', 'in Accountancy'] | ['auditing', 'debt contracting', 'risk management', 'Auditing', 'Debt Contracting', 'Risk Management'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Xiaoyang LI | ['Research Assistant Professor', 'Finance'] | ['School of Accounting and Finance'] | ['Renmin University of China'] | ['bachelor and master degree in finance', 'name', 'Dr Xiaoyang LI', 'position', 'Research Assistant Professor', 'department', 'School of Accounting and Finance', 'research interests', 'Financial Technology (FinTech)', 'banking', 'corporate finance', 'graduate schools', 'Chinese University of Hong Kong', 'degrees', 'Ph', 'D', 'in Economics', 'Qing Li', 'Chair-Professor', 'Head of the Department of Computing', 'Department of Computing'] | ['Financial Technology (FinTech)', 'banking', 'corporate finance'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Ruiqi LIU | ['Research Assistant Professor'] | ['Accounting and Finance'] | [] | [] | ['ESG', 'Innovation', 'Corporate Governance', 'Information System Investment'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Eugene Oue | ['Research-Assistant-Professor'] | ['School of Accounting and Finance'] | ['University of Maryland'] | ['Ph', 'D', 'in Economics'] | ['macroeconomics', 'family economics', 'inequality', 'international finance', 'and innovation and growth'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Paul WANG | ['Research Assistant Professor'] | ['Accounting and Finance'] | [] | [] | ['Financial Technology (FinTech) International Economics Innovation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Ziang WANG | ['Research Assistant Professor'] | ['Department of Accounting and Finance'] | [] | [] | ['Blockchain', 'Data Analytics', 'Machine Learning'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Linti ZHANG | ['Research Assistant Professor'] | ['Accounting and Finance'] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Vincent ZHUANG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Derek CHUNG | ['Professor of Practice (Finance)'] | ['Accounting and Finance'] | [] | [] | ['Banking and Financial Services', 'Fintech', 'Digital Transformation', 'Corporate Social Responsibility', 'International Banking', 'Strategic Management'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| CW Brian Kei | ['Professor of Practice (Fintech)'] | ['School of Accounting and Finance'] | ['Hong Kong Polytechnic University'] | ['Doctor of Business Administration', 'B', 'Engineering (Computer Engineering)', 'Doctor of Business Administration (Hong Kong Polytechnic University)', 'Engineering (Computer Engineering) (McMaster University)'] | ['financial services', 'FinTech', 'Blockchain', 'Big Data', 'Machine Learning', 'Natural Language Processing and Robotic Process Automation', 'Financial Services', 'Web3', 'Robotic Process Automation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Lapman LEE | ['Professor of Practice (ESG and Fintech)'] | ['Accounting and Finance'] | [] | [] | ['Climate Change', 'ESG and Sustainable Finance', 'FinTech and Innovation', 'Governance and Risk Management', 'Capital Markets', 'Corporate Finance'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Jack Poon | ['Professor of Practice (Fintech', 'Entrepreneurial Finance)', 'Strategic Advisors', 'Consultants', 'strategic advisors', 'consultants'] | ['School of Accounting and Finance', 'Accounting and Finance'] | ['Chicago Booth School of Business', 'Stanford University', 'California Institute of Technology'] | ['University of Washington (Electrical Engineering)', 'University of Washington', 'Electrical Engineering'] | ['Fintech', 'Entrepreneurial Finance', 'Strategic And Financial Advisory For Startup', 'Natural Language Processing (Artificial Intelligence)', 'entrepreneurship', 'startup advising', 'technology services'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Professor Wilson Tong | ['Professor of Practice (Finance)'] | ['Accounting and Finance'] | ['The Hong Kong Polytechnic University'] | ['PhD in Finance'] | ['privatization', 'China market', 'Asian markets', 'and return anomalies'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Wilson TONG | [] | ['Accounting and Finance'] | [] | [] | ['Privatization', 'China Market', 'Asian Equity Markets', 'Return Anomalies'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Justin LAW | ['Senior Teaching Fellow'] | ['Accounting and Finance'] | ['Bachelor of Commerce', 'The University of Manitoba\\nMaster of Accountancy', 'The University of Manitoba\\nDoctor of Philosophy', 'The Hong Kong Polytechnic University'] | ['Bachelor of Commerce', 'The University of Manitoba\\nMaster of Accountancy', 'The University of Manitoba\\nDoctor of Philosophy', 'The Hong Kong Polytechnic University'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr. Allen Ng | ['Senior Teaching Fellow', 'Deputy Program Director of Master of Finance /Corporate Finance Program'] | ['Accounting and Finance', 'Department of Accounting and Finance'] | ['The University of Newcastle', 'The Chinese University of Hong Kong', 'University of Newcastle', 'Chinese University of Hong Kong'] | ['DBA', 'MBA', 'Bachelor of Social Science'] | ['financial analysis and valuation', 'financial planning', 'security analysis and portfolio management', 'Asset Pricing', 'Behavioural Economics', 'Finance', 'And Accounting', 'Corporate Finance'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Steven WEI | ['Senior Teaching Fellow'] | ['Accounting and Finance'] | ['Hebei University'] | ['Master of Science'] | ['Finance & Financial Services'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Anson WONG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Noor Nahar BEGUM | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Raymond Chan | ['Teaching Fellow'] | ['Accounting and Finance'] | ['The Chinese University of Hong Kong'] | ['Bachelor of Business Administration', 'Master of Business Administration'] | ['Asset Pricing', 'Corporate Finance', 'Credit Market And Risk'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Derek YIM | ['Teaching Fellow'] | ['School of Accounting and Finance', 'Accounting and Finance'] | ['York University', 'Bachelor of Arts', 'Hong Kong Polytechnic'] | ['Doctor of Philosophy in Finance', 'Master of Business Administration in Finance (minor in Real Estate)', 'Master of Business Administration', 'York University\\nDoctor of Philosophy', 'The Hong Kong Polytechnic University'] | ['Finance & Financial Services', 'corporate finance', 'corporate crime', 'financial markets'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Haitian LU | ['Hong Kong Sustaintech Foundation Professor in Accounting and Finance', 'Director of Mainland Development Office', 'Co-Director of the Center for Economic Sustainability and Entrepreneurial Finance (CESEF)', 'Vice-chairman of the Federation of Alumni Association of Chinese Colleges and Universities in Hong Kong', 'Vice-chairman of Greater Bay Area Fintech Promotion Association Limited', 'Deputy-Director General of the Macau International Healthcare Think Tank', 'Hong Kong Sustaintech Foundation Professor', 'Co-Director', 'Center for Economic Sustainability and Entrepreneurial Finance'] | ['Accounting and Finance'] | ['National University of Singapore', 'Liverpool University', 'Nanjing University', 'Tung Wah College', 'Chinese University of Hong Kong', 'Caritas Francis Hsu College', 'The University of Liverpool', 'Bachelor of Law', 'Nanjing University\\nMaster of Laws', 'The University of Liverpool\\nPh', 'D', 'in Law'] | ['Ph', 'D in law', 'Master of Law', 'Bachelor of Law', 'Master of Laws', 'D', 'in Law', 'Nanjing University\\nMaster of Laws', 'The University of Liverpool\\nPh', 'National University of Singapore'] | ['FinTech', 'RegTech', 'SustainTech', 'ethics and regulatory framework in Hong Kong and mainland China', 'Corporate Disclosure And Governance', 'Entrepreneurial Finance And Fintech', 'Law And Economics', 'Fintech'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| LU Haitian | ['Associate Editor', 'Council Member', 'Chief-Consultant', 'Deputy Director', 'Executive Committee Member', 'Management Committee Member', 'Chair'] | ['Accounting and Finance'] | [] | [] | ['Financial Stability', 'ESG', 'Sustainable Urban Development', 'Smart City', 'Asset Management'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Sirui Han | ['Research Assistant Professor'] | ['Accounting and Finance'] | ['Chinese University of Hong Kong', 'University College London', 'Cornell Law School'] | ['Ph', 'D', 'in Law and MS', 'c', 'in Finance', 'LL', 'M', 'in international commercial law'] | ['finance', 'law'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Stephen CHAN | ['Teaching-Fellow'] | ['Accounting and Finance'] | ['The University of Hong Kong', 'The Chinese University of Hong Kong'] | ['Postgraduate Certificate in Laws', 'Bachelor of Laws', 'Master of Laws', 'Master of Education', 'Doctor of Education'] | ['Corporate Governance And Compensation', 'Law', 'Regulation', 'And Policy'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Lucas CHIANG | ['Teaching Fellow'] | ['Accounting and Finance'] | [] | [] | ['Business Law', 'Competition Law', 'Arbitration and Mediation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Winnie CHIU | ['Teaching Fellow'] | ['Accounting and Finance'] | [] | [] | ['Law'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| K.K. LEE | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Sandy SABAPATHY | ['Teaching-Fellow'] | ['Accounting and Finance'] | ['University of London (Queen Mary College)'] | ['Diploma in Intellectual Property Law', 'Bachelor of Laws', 'Master of Laws in Information Technology and Telecommunications Law'] | ['Law'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Professor Asif Sohail Usmani | ['Head of Unit', 'Chair Professor of Building Sciences and Fire Safety Engineering', 'Professor'] | ['Building Environment and Energy Engineering'] | ['NED University of Engineering and Technology', 'Stanford University', 'University of Wales'] | ['Bachelor of Engineering', 'Master of Science', 'Doctor of Philosophy'] | ['performance based structural and fire safety engineering', 'development of computational tools for realistic simulation of structural response to fire loading', 'promoting resilience of infrastructure and communities to man-made and natural disasters'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Lai Hung Kit Joseph | ['Associate Head (Teaching)', 'Professor', 'Associate Head', 'Department of Building Environment and Energy Engineering'] | ['Department of Building Environment and Energy Engineering', 'Building Environment and Energy Engineering'] | ['The Hong Kong Polytechnic University', 'The University of Hong Kong', 'University of Strathclyde'] | ['PhD in Facility Management', 'BSc', 'MSc', 'PhD', 'Bachelor of Science in Building Services Engineering', 'Master of Science in Environmental Management', 'Doctor of Philosophy in Facility Management'] | ['facility management', 'environmental management', 'and engineering consultancy', 'sustainability', 'building energy and environmental systems', 'energy modelling and simulation', 'indoor environmental quality', 'renewable energy and building systems', 'energy policy and strategies', 'building services engineering'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ir Professor Lai Hung Kit Joseph | ['Co-Editor', 'Associate Editor', 'Editorial Advisory Board Member', 'Academic Advisor'] | ['Building Environment and Energy Engineering'] | ['University of Warwick'] | ['BEng', 'PhD'] | ['smart and sustainable built environment'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mui Kwok Wai Horace | ['Associate Head (Research)', 'Professor', 'Associate Head'] | ['Department of Building Environment and Energy Engineering'] | ['The Hong Kong Polytechnic University'] | ['BEng in Building Services Engineering (First Class)', 'Ph', 'D', 'in Building Services Engineering'] | ['energy and environmental engineering'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ir Professor Mui Kwok Wai Horace | ['Professor', 'Fellow of The Hong Kong Institution of Engineers (FHKIE)', 'Member of American Society of Heating', 'Refrigerating and Air-Conditioning Engineers (USA)', 'Member of Hong Kong Society for Microbiology and Infection (HKSMI)', 'Member of The Chartered Institution of Building Services Engineers (CIBSE)', 'Committee Member & Technical Activities Coordinator (since 2021) and was a Co-opted member (2020 to 2021)', 'Member of The International Society of Indoor Air Quality and Climate (ISIAQ)', 'Elected member of the Board of Directors and Treasurer (2020-2022) and was the Treasurer-elect (2018 to 2020)', 'Registered Professional Engineer (RPE) in the Building Services Discipline in Hong Kong', 'Professional Assessment Assessor', 'Accreditation team member', 'Honorary Technical Advisor', 'Vice-President', 'Honorary Presidents', 'Panel of Advisors', 'Director of Home Affairs', 'Member of Advisory Committee for the Fire Safety (Buildings) Ordinance and the Fire Safety (Commercial Premises) Ordinance (since 2019)', 'Committee member', 'Office of the Communications Authority', 'HKSAR (Since 2022)', 'Member of Districts Fire Safety Committee (Yau Tsim Mong District) (2020 to 2021)', 'Member of LSCM’s Expert Review Panel (ERP) (LSCM supports applied R&D projects conducted by local research institutes via Innovation and Technology Fund (ITF) of the HKSAR Government) (since 2017)', 'Member of Working group ISO/TC159/SC5/WG6 “Measurements of air quality indoors by human subjects” (2009 to 2011)', 'Co-Chairman of ASHRAE Hong Kong Chapter Technical Working Group (TWG) (since 2009)', 'Honourable advisor of Hong Kong Indoor Air Quality Society (HKIAQS) (since 2007)', 'Departmental Management Committee (DMC) member', 'Departmental Staffing Committee (DSC) member', 'Research Institute for Smart Energy (RISE) member', 'Faculty Board member', 'Faculty Learning and Teaching Committee (FLTC) member', 'Departmental Partnership Committee member', 'Continuing Education Review Committee (CERC) member', 'Advisory Committee member of Squina International Centre for Infection Control (CIC)', 'Affiliate Faculty Member', 'School of Nursing', 'Fellow of The Hong Kong Institution of Engineers', 'Refrigerating and Air-Conditioning Engineers', 'Member of Hong Kong Society for Microbiology and Infection', 'Member of The Chartered Institution of Building Services Engineers', 'Committee Member & Technical Activities Coordinator of The Chartered Institution of Building Services Engineers', 'Co-opted member of The Chartered Institution of Building Services Engineers', 'Professional Assessment Assessor and accreditation team member', 'Member of Advisory Committee for the Fire Safety (Buildings) Ordinance and the Fire Safety (Commercial Premises) Ordinance', 'Member of Districts Fire Safety Committee (Yau Tsim Mong District)', 'Member of LSCM’s Expert Review Panel', 'Member of Working group ISO/TC159/SC5/WG6', 'Co-Chairman of ASHRAE Hong Kong Chapter Technical Working Group', 'Honourable advisor of Hong Kong Indoor Air Quality Society'] | ['Building Environment and Energy Engineering'] | ['Member of The Hong Kong Institution of Engineers (FHKIE)', 'The Hong Kong Institution of Engineers (HK) (since 2019)', 'Hong Kong University (CityU)', 'The Hong Kong Institution of Engineers', 'The Hong Kong Society for Microbiology and Infection', '-'] | ['UK Chartered Engineer (CEng)', 'Honorary Technical Advisor of The Chartered Institute of Plumbing and Heating Engineering (CIPHE) – HK Branch (since 2021)', 'Vice-President (since 2020) & Honorary Presidents (2015 to 2020) of Fire Safety Ambassador Honorary Presidents’ Association', 'Panel of Advisors of Building Management Dispute', 'Director of Home Affairs of the HKSAR Government (since 2020)', 'Member of Appeal Tribunal Panel Section 45 of the Buildings Ordinance (Cap', 'BSc(Hons) in Building Services Engineering', '-'] | ['building and environmental engineering', 'indoor environmental quality', 'indoor air quality', 'built environment', 'energy efficient building technology', 'bioaerosol transportation', 'thermal comfort', 'building ventilation and drainage system', 'nan', 'environmental engineering', 'Indoor Air Quality (IAQ) investigation and assessment', 'air-conditioning system and deodorizer systems performance evaluation', 'review of IAQ standards in Hong Kong', 'drainage designs for housing estates and energy benchmarking in Hong Kong', 'bioaerosol transportation in indoor environments', 'air-conditioning & ventilation', 'architectural and buildings', 'pipe and gas services', 'indoor air quality engineering', 'and building services design project', '-', 'fire safety and indoor air quality'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ir Dr Wong Ling Tim | ['Associate Head (Partnership)', 'Associate Professor'] | ['Building Environment and Energy Engineering'] | ['Hong Kong Polytechnic'] | ['Higher Diploma in Building Services Engineering', 'Bachelor of Engineering in Building Services Engineering', 'Doctor of Philosophy'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ir Professor Christopher Chao | ['Vice President (Research and Innovation)', 'Chair Professor of Thermal and Environmental Engineering', 'Director of Policy Research Centre for Innovation and Technology (PReCIT)', 'Chair-Professor', 'Editor', 'Editorial boards of several major journals in the field of Energy and Built Environment', 'Professor', 'Ir Professor', 'Assistant Professor', 'Associate Professor', 'Full Professor', 'Chair Professor', 'Editorial board member', 'Head of the Department of Building Environment and Energy Engineering', 'Department of Building Environment and Energy Engineering', 'Building Environment and Energy Engineering'] | ['Building Environment and Energy Engineering', 'Mechanical and Aerospace Engineering', 'Department of Building Environment and Energy Engineering'] | ['The University of Hong Kong', 'The Hong Kong University of Science and Technology', 'Fellow of the Hong Kong Academy of Engineering Sciences', 'American Society of Mechanical Engineers', 'Institution of Mechanical Engineers', 'Chartered Institution of Building Services Engineers', 'Hong Kong Institution of Engineers and International Society of Indoor Air Quality and Climate', 'University of Hong Kong', 'Tsinghua University', '[Not Specified]', 'BSc(Eng)', 'MS', 'PhD', 'The University of Hong Kong (HKU)', 'Fellow of several major journals', 'National Taiwan University'] | ['BSc(Eng) in Mechanical Engineering (First Class)', 'M', 'S', 'and Ph', 'D', 'in Mechanical Engineering from The University of California', 'Berkeley', 'USA', 'Mechanical and Aerospace Engineering', 'Fellow', 'PhD in Civil Engineering', 'PhD in Materials Science and Engineering', '[Not Specified]', 'in Mechanical Engineering', 'Ph', 'BSc', 'MSc', 'PhD', 'Fellow of multiple institutions', 'PhD in Mechanical Engineering', 'BSc(Eng)', 'MS'] | ['Thermal and Environmental Engineering', 'engineering', 'energy and built environment', 'energy-efficient air cleaning technique', 'evaporation and wetting behavior', 'droplet detachment', 'passive radiative cooling', 'energy', 'environmental engineering', 'materials science and engineering', 'Combustion', 'Thermal Science', 'Fluid Mechanics and Energy', 'Passive Radiative Cooling', 'Renewable Energy', 'Aqueous Nanofluid Droplets', 'Air Jet Impingement', 'Passive Thermal Management System for High-powered Lithium Ion Batteries', 'Energy and Built Environment', 'nanofluid', 'triboelectric nanogenerator', 'particle deposition', 'superhydrophobic surfaces', 'icephobicity', 'bioaerosol deposition and recovery of viable viruses and bacteria on surfaces from a cough and implications for respiratory disease transmission', 'aerosol science and technology', 'solution-processed all-ceramic plasmonic metamaterials for efficient solar-thermal conversion over 100-727 ºC', 'bio-inspired cooling technologies and their applications in buildings', 'and bio-inspired TiO2 nano-cone antireflection layer for the optical performance improvement of VO2 thermochromic smart windows', 'Energy-efficient air cleaning techniques', 'Nanofluid dynamics', 'Surface energy and mass transport', 'Micro/nano-scale heat transfer', 'energy and environmental engineering', 'fluid mechanics', 'heat transfer', 'renewable energy', 'aerodynamics', 'Nanofluid Droplets', 'Thermal Management System for Lithium Ion Batteries'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. Chen Qingyan | ['Director of PolyU Academy for Interdisciplinary Research (PAIR)', 'Chair Professor of Building Thermal Science', 'Professor'] | ['Building Environment and Energy Engineering'] | ['Tsinghua University', 'Delft University of Technology', 'ETH-Zurich', 'MIT', 'and Purdue University', 'National Science Foundation in the United States', 'not provided'] | ['B', 'Eng', 'M', 'Ph', 'D', 'CAREER award', 'not provided'] | ['indoor environment', 'aircraft cabin environment', 'and energy-efficient', 'healthy', 'and sustainable building design and analysis', 'heating', 'refrigerating', 'and air-conditioning engineering', 'computer simulations and experimental measurements of built environment', 'Energy-efficient', 'and sustainable buildings'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Professor Chen Qingyan | ['Director of PolyU Academy for Interdisciplinary Research (PAIR)', 'Chair Professor of Building Thermal Science', 'Dwyer Professor', 'Editor-in-Chief'] | ['Building Environment and Energy Engineering'] | ['Delft University of Technology', 'The Netherlands', 'Purdue University'] | ['Doctor of Philosophy', 'Master of Science', 'Bachelor of Science', 'PhD', 'Doctor of Philosophy and Master of Science'] | ['computer simulations and experimental measurements of built environment', 'Energy-efficient', 'healthy', 'and sustainable buildings', 'indoor environment', 'aircraft cabin environment', 'and energy-efficient', 'and sustainable building design and analysis'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ir Professor Niu Jianlei | ['ADoSCRI & Chair Professor of Building Environment and Energy', 'Chair Professor', 'Chartered Engineer'] | ['Building Environment and Energy Engineering'] | ['Tsinghua University', 'The University of Hong Kong'] | ['Bachelor of Engineering', 'Master of Engineering', 'Doctor of Philosophy', 'BEng(Hons) in Mechanical Engineering', 'MBA', 'PhD in Building Services Engineering'] | ['building energy and HVAC system modeling and simulation', 'development of low-energy air-conditioning and ventilation systems', 'modeling of air pollutant emission from building materials', 'and development of standard testing methods', 'application of turbulence modeling and CFD (computational fluid dynamics) techniques for building ventilation studies', 'diagnosis of indoor air quality', 'and audit of building energy uses'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ir Professor Wang Shengwei | ['Director of Research Institute for Smart Energy', 'Chair Professor of Building Energy and Automation', 'Otto Poon Charitable Foundation Professor in Smart Buildings', 'Professor', 'Department of Building Environment and Energy Engineering', 'Building Environment and Energy Engineering'] | ['Research Institute for Smart Energy', 'Department of Building Environment and Energy Engineering', 'Building Environment and Energy Engineering'] | ['Huazhong University of Science and Technology', 'University of Liège', 'Fellow', 'International Building Performance Simulation Association (IBPSA)', 'Hong Kong University', 'National Taiwan University'] | ['Bachelor of Science', 'Master of Science', 'Doctor of Philosophy', 'Fellow', 'Chartered Institution of Building Services of Engineers (CIBSE)', 'UK', 'Hong Kong Institution of Engineers (HKIE)', 'HK', 'Corporate Member', 'American Society of Heating', 'Refrigeration and Air-Conditioning Engineers', 'USA', 'Registered Professional Engineer', 'Chartered Building Services Engineer', 'PhD in Civil Engineering', 'Master of Science in Environmental Engineering'] | ['energy system control optimization', 'design optimization', 'diagnosis & commissioning', 'Air-conditioning systems', 'building automation systems', 'energy-flexible buildings', 'demand response in the context of smart grids', 'zero/low energy buildings', 'smart and distributed energy systems', 'cleanroom air-conditioning systems', 'district and data center cooling systems', 'uncertainty analysis in building and system design and control/diagnosis', 'next-generation key technologies (e', 'g', 'IoT', 'AI and distributed optimization) for smart buildings', 'energy science and engineering', 'interdisciplinary energy research', 'smart buildings', 'building energy and automation', 'building performance simulation', 'energy optimization'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Shengwei Wang | ['Director of Research Institute for Smart Energy', 'University-level Research Institute in PolyU'] | ['Research Institute for Smart Energy'] | ['University of California', 'Berkeley'] | ['PhD in Mechanical Engineering'] | ['energy system control optimization', 'design optimization and diagnosis & commissioning'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
